ts,wti
2006-01-01,65.485
2006-01-02,65.36067911714771
2006-01-03,65.23635823429541
2006-01-04,65.11203735144312
2006-01-05,64.98771646859083
2006-01-06,64.86339558573854
2006-01-07,64.73907470288624
2006-01-08,64.61475382003395
2006-01-09,64.49043293718167
2006-01-10,64.36611205432938
2006-01-11,64.24179117147708
2006-01-12,64.11747028862479
2006-01-13,63.9931494057725
2006-01-14,63.868828522920204
2006-01-15,63.744507640067916
2006-01-16,63.62018675721562
2006-01-17,63.49586587436333
2006-01-18,63.37154499151104
2006-01-19,63.24722410865875
2006-01-20,63.12290322580645
2006-01-21,62.998582342954165
2006-01-22,62.87426146010187
2006-01-23,62.74994057724958
2006-01-24,62.62561969439729
2006-01-25,62.501298811545
2006-01-26,62.3769779286927
2006-01-27,62.252657045840415
2006-01-28,62.12833616298812
2006-01-29,62.00401528013583
2006-01-30,61.87969439728354
2006-01-31,61.75537351443125
2006-02-01,61.63105263157895
2006-02-02,61.66870137299772
2006-02-03,61.70635011441648
2006-02-04,61.743998855835244
2006-02-05,61.78164759725401
2006-02-06,61.81929633867277
2006-02-07,61.856945080091535
2006-02-08,61.8945938215103
2006-02-09,61.93224256292907
2006-02-10,61.96989130434783
2006-02-11,62.007540045766596
2006-02-12,62.04518878718536
2006-02-13,62.082837528604124
2006-02-14,62.12048627002289
2006-02-15,62.15813501144165
2006-02-16,62.195783752860414
2006-02-17,62.23343249427918
2006-02-18,62.27108123569794
2006-02-19,62.308729977116705
2006-02-20,62.34637871853547
2006-02-21,62.38402745995423
2006-02-22,62.421676201373
2006-02-23,62.45932494279177
2006-02-24,62.49697368421053
2006-02-25,62.534622425629294
2006-02-26,62.57227116704806
2006-02-27,62.60991990846682
2006-02-28,62.647568649885585
2006-03-01,62.68521739130435
2006-03-02,62.90323244998893
2006-03-03,63.121247508673505
2006-03-04,63.339262567358084
2006-03-05,63.55727762604267
2006-03-06,63.77529268472725
2006-03-07,63.993307743411826
2006-03-08,64.2113228020964
2006-03-09,64.42933786078099
2006-03-10,64.64735291946556
2006-03-11,64.86536797815015
2006-03-12,65.08338303683472
2006-03-13,65.3013980955193
2006-03-14,65.51941315420389
2006-03-15,65.73742821288846
2006-03-16,65.95544327157305
2006-03-17,66.17345833025762
2006-03-18,66.3914733889422
2006-03-19,66.60948844762677
2006-03-20,66.82750350631136
2006-03-21,67.04551856499594
2006-03-22,67.26353362368052
2006-03-23,67.4815486823651
2006-03-24,67.69956374104967
2006-03-25,67.91757879973426
2006-03-26,68.13559385841884
2006-03-27,68.35360891710341
2006-03-28,68.571623975788
2006-03-29,68.78963903447257
2006-03-30,69.00765409315716
2006-03-31,69.22566915184173
2006-04-01,69.44368421052631
2006-04-02,69.4903644338118
2006-04-03,69.53704465709728
2006-04-04,69.58372488038277
2006-04-05,69.63040510366827
2006-04-06,69.67708532695374
2006-04-07,69.72376555023924
2006-04-08,69.77044577352471
2006-04-09,69.8171259968102
2006-04-10,69.8638062200957
2006-04-11,69.91048644338117
2006-04-12,69.95716666666667
2006-04-13,70.00384688995216
2006-04-14,70.05052711323764
2006-04-15,70.09720733652313
2006-04-16,70.1438875598086
2006-04-17,70.1905677830941
2006-04-18,70.23724800637959
2006-04-19,70.28392822966507
2006-04-20,70.33060845295056
2006-04-21,70.37728867623605
2006-04-22,70.42396889952153
2006-04-23,70.47064912280702
2006-04-24,70.51732934609251
2006-04-25,70.56400956937799
2006-04-26,70.61068979266348
2006-04-27,70.65737001594896
2006-04-28,70.70405023923445
2006-04-29,70.75073046251994
2006-04-30,70.79741068580542
2006-05-01,70.84409090909091
2006-05-02,70.84753665689149
2006-05-03,70.85098240469208
2006-05-04,70.85442815249267
2006-05-05,70.85787390029326
2006-05-06,70.86131964809384
2006-05-07,70.86476539589442
2006-05-08,70.86821114369502
2006-05-09,70.8716568914956
2006-05-10,70.87510263929619
2006-05-11,70.87854838709677
2006-05-12,70.88199413489735
2006-05-13,70.88543988269795
2006-05-14,70.88888563049854
2006-05-15,70.89233137829912
2006-05-16,70.8957771260997
2006-05-17,70.8992228739003
2006-05-18,70.90266862170088
2006-05-19,70.90611436950147
2006-05-20,70.90956011730205
2006-05-21,70.91300586510265
2006-05-22,70.91645161290323
2006-05-23,70.91989736070381
2006-05-24,70.9233431085044
2006-05-25,70.92678885630498
2006-05-26,70.93023460410558
2006-05-27,70.93368035190616
2006-05-28,70.93712609970675
2006-05-29,70.94057184750733
2006-05-30,70.94401759530793
2006-05-31,70.94746334310851
2006-06-01,70.9509090909091
2006-06-02,71.06624720893142
2006-06-03,71.18158532695375
2006-06-04,71.29692344497607
2006-06-05,71.41226156299841
2006-06-06,71.52759968102073
2006-06-07,71.64293779904307
2006-06-08,71.75827591706539
2006-06-09,71.87361403508771
2006-06-10,71.98895215311005
2006-06-11,72.10429027113237
2006-06-12,72.2196283891547
2006-06-13,72.33496650717703
2006-06-14,72.45030462519937
2006-06-15,72.56564274322169
2006-06-16,72.68098086124402
2006-06-17,72.79631897926635
2006-06-18,72.91165709728867
2006-06-19,73.026995215311
2006-06-20,73.14233333333333
2006-06-21,73.25767145135566
2006-06-22,73.37300956937798
2006-06-23,73.48834768740032
2006-06-24,73.60368580542264
2006-06-25,73.71902392344496
2006-06-26,73.8343620414673
2006-06-27,73.94970015948962
2006-06-28,74.06503827751196
2006-06-29,74.18037639553428
2006-06-30,74.29571451355662
2006-07-01,74.41105263157894
2006-07-02,74.36692330405255
2006-07-03,74.32279397652616
2006-07-04,74.27866464899977
2006-07-05,74.23453532147339
